"","rm","medv"
"1",6.575,24
"2",6.421,21.6
"3",7.185,34.7
"4",6.998,33.4
"5",7.147,36.2
"6",6.43,28.7
"7",6.012,22.9
"8",6.172,27.1
"9",5.631,16.5
"10",6.004,18.9
"11",6.377,15
"12",6.009,18.9
"13",5.889,21.7
"14",5.949,20.4
"15",6.096,18.2
"16",5.834,19.9
"17",5.935,23.1
"18",5.99,17.5
"19",5.456,20.2
"20",5.727,18.2
"21",5.57,13.6
"22",5.965,19.6
"23",6.142,15.2
"24",5.813,14.5
"25",5.924,15.6
"26",5.599,13.9
"27",5.813,16.6
"28",6.047,14.8
"29",6.495,18.4
"30",6.674,21
"31",5.713,12.7
"32",6.072,14.5
"33",5.95,13.2
"34",5.701,13.1
"35",6.096,13.5
"36",5.933,18.9
"37",5.841,20
"38",5.85,21
"39",5.966,24.7
"40",6.595,30.8
"41",7.024,34.9
"42",6.77,26.6
"43",6.169,25.3
"44",6.211,24.7
"45",6.069,21.2
"46",5.682,19.3
"47",5.786,20
"48",6.03,16.6
"49",5.399,14.4
"50",5.602,19.4
"51",5.963,19.7
"52",6.115,20.5
"53",6.511,25
"54",5.998,23.4
"55",5.888,18.9
"56",7.249,35.4
"57",6.383,24.7
"58",6.816,31.6
"59",6.145,23.3
"60",5.927,19.6
"61",5.741,18.7
"62",5.966,16
"63",6.456,22.2
"64",6.762,25
"65",7.104,33
"66",6.29,23.5
"67",5.787,19.4
"68",5.878,22
"69",5.594,17.4
"70",5.885,20.9
"71",6.417,24.2
"72",5.961,21.7
"73",6.065,22.8
"74",6.245,23.4
"75",6.273,24.1
"76",6.286,21.4
"77",6.279,20
"78",6.14,20.8
"79",6.232,21.2
"80",5.874,20.3
"81",6.727,28
"82",6.619,23.9
"83",6.302,24.8
"84",6.167,22.9
"85",6.389,23.9
"86",6.63,26.6
"87",6.015,22.5
"88",6.121,22.2
"89",7.007,23.6
"90",7.079,28.7
"91",6.417,22.6
"92",6.405,22
"93",6.442,22.9
"94",6.211,25
"95",6.249,20.6
"96",6.625,28.4
"97",6.163,21.4
"98",8.069,38.7
"99",7.82,43.8
"100",7.416,33.2
"101",6.727,27.5
"102",6.781,26.5
"103",6.405,18.6
"104",6.137,19.3
"105",6.167,20.1
"106",5.851,19.5
"107",5.836,19.5
"108",6.127,20.4
"109",6.474,19.8
"110",6.229,19.4
"111",6.195,21.7
"112",6.715,22.8
"113",5.913,18.8
"114",6.092,18.7
"115",6.254,18.5
"116",5.928,18.3
"117",6.176,21.2
"118",6.021,19.2
"119",5.872,20.4
"120",5.731,19.3
"121",5.87,22
"122",6.004,20.3
"123",5.961,20.5
"124",5.856,17.3
"125",5.879,18.8
"126",5.986,21.4
"127",5.613,15.7
"128",5.693,16.2
"129",6.431,18
"130",5.637,14.3
"131",6.458,19.2
"132",6.326,19.6
"133",6.372,23
"134",5.822,18.4
"135",5.757,15.6
"136",6.335,18.1
"137",5.942,17.4
"138",6.454,17.1
"139",5.857,13.3
"140",6.151,17.8
"141",6.174,14
"142",5.019,14.4
"143",5.403,13.4
"144",5.468,15.6
"145",4.903,11.8
"146",6.13,13.8
"147",5.628,15.6
"148",4.926,14.6
"149",5.186,17.8
"150",5.597,15.4
"151",6.122,21.5
"152",5.404,19.6
"153",5.012,15.3
"154",5.709,19.4
"155",6.129,17
"156",6.152,15.6
"157",5.272,13.1
"158",6.943,41.3
"159",6.066,24.3
"160",6.51,23.3
"161",6.25,27
"162",7.489,50
"163",7.802,50
"164",8.375,50
"165",5.854,22.7
"166",6.101,25
"167",7.929,50
"168",5.877,23.8
"169",6.319,23.8
"170",6.402,22.3
"171",5.875,17.4
"172",5.88,19.1
"173",5.572,23.1
"174",6.416,23.6
"175",5.859,22.6
"176",6.546,29.4
"177",6.02,23.2
"178",6.315,24.6
"179",6.86,29.9
"180",6.98,37.2
"181",7.765,39.8
"182",6.144,36.2
"183",7.155,37.9
"184",6.563,32.5
"185",5.604,26.4
"186",6.153,29.6
"187",7.831,50
"188",6.782,32
"189",6.556,29.8
"190",7.185,34.9
"191",6.951,37
"192",6.739,30.5
"193",7.178,36.4
"194",6.8,31.1
"195",6.604,29.1
"196",7.875,50
"197",7.287,33.3
"198",7.107,30.3
"199",7.274,34.6
"200",6.975,34.9
"201",7.135,32.9
"202",6.162,24.1
"203",7.61,42.3
"204",7.853,48.5
"205",8.034,50
"206",5.891,22.6
"207",6.326,24.4
"208",5.783,22.5
"209",6.064,24.4
"210",5.344,20
"211",5.96,21.7
"212",5.404,19.3
"213",5.807,22.4
"214",6.375,28.1
"215",5.412,23.7
"216",6.182,25
"217",5.888,23.3
"218",6.642,28.7
"219",5.951,21.5
"220",6.373,23
"221",6.951,26.7
"222",6.164,21.7
"223",6.879,27.5
"224",6.618,30.1
"225",8.266,44.8
"226",8.725,50
"227",8.04,37.6
"228",7.163,31.6
"229",7.686,46.7
"230",6.552,31.5
"231",5.981,24.3
"232",7.412,31.7
"233",8.337,41.7
"234",8.247,48.3
"235",6.726,29
"236",6.086,24
"237",6.631,25.1
"238",7.358,31.5
"239",6.481,23.7
"240",6.606,23.3
"241",6.897,22
"242",6.095,20.1
"243",6.358,22.2
"244",6.393,23.7
"245",5.593,17.6
"246",5.605,18.5
"247",6.108,24.3
"248",6.226,20.5
"249",6.433,24.5
"250",6.718,26.2
"251",6.487,24.4
"252",6.438,24.8
"253",6.957,29.6
"254",8.259,42.8
"255",6.108,21.9
"256",5.876,20.9
"257",7.454,44
"258",8.704,50
"259",7.333,36
"260",6.842,30.1
"261",7.203,33.8
"262",7.52,43.1
"263",8.398,48.8
"264",7.327,31
"265",7.206,36.5
"266",5.56,22.8
"267",7.014,30.7
"268",8.297,50
"269",7.47,43.5
"270",5.92,20.7
"271",5.856,21.1
"272",6.24,25.2
"273",6.538,24.4
"274",7.691,35.2
"275",6.758,32.4
"276",6.854,32
"277",7.267,33.2
"278",6.826,33.1
"279",6.482,29.1
"280",6.812,35.1
"281",7.82,45.4
"282",6.968,35.4
"283",7.645,46
"284",7.923,50
"285",7.088,32.2
"286",6.453,22
"287",6.23,20.1
"288",6.209,23.2
"289",6.315,22.3
"290",6.565,24.8
"291",6.861,28.5
"292",7.148,37.3
"293",6.63,27.9
"294",6.127,23.9
"295",6.009,21.7
"296",6.678,28.6
"297",6.549,27.1
"298",5.79,20.3
"299",6.345,22.5
"300",7.041,29
"301",6.871,24.8
"302",6.59,22
"303",6.495,26.4
"304",6.982,33.1
"305",7.236,36.1
"306",6.616,28.4
"307",7.42,33.4
"308",6.849,28.2
"309",6.635,22.8
"310",5.972,20.3
"311",4.973,16.1
"312",6.122,22.1
"313",6.023,19.4
"314",6.266,21.6
"315",6.567,23.8
"316",5.705,16.2
"317",5.914,17.8
"318",5.782,19.8
"319",6.382,23.1
"320",6.113,21
"321",6.426,23.8
"322",6.376,23.1
"323",6.041,20.4
"324",5.708,18.5
"325",6.415,25
"326",6.431,24.6
"327",6.312,23
"328",6.083,22.2
"329",5.868,19.3
"330",6.333,22.6
"331",6.144,19.8
"332",5.706,17.1
"333",6.031,19.4
"334",6.316,22.2
"335",6.31,20.7
"336",6.037,21.1
"337",5.869,19.5
"338",5.895,18.5
"339",6.059,20.6
"340",5.985,19
"341",5.968,18.7
"342",7.241,32.7
"343",6.54,16.5
"344",6.696,23.9
"345",6.874,31.2
"346",6.014,17.5
"347",5.898,17.2
"348",6.516,23.1
"349",6.635,24.5
"350",6.939,26.6
"351",6.49,22.9
"352",6.579,24.1
"353",5.884,18.6
"354",6.728,30.1
"355",5.663,18.2
"356",5.936,20.6
"357",6.212,17.8
"358",6.395,21.7
"359",6.127,22.7
"360",6.112,22.6
"361",6.398,25
"362",6.251,19.9
"363",5.362,20.8
"364",5.803,16.8
"365",8.78,21.9
"366",3.561,27.5
"367",4.963,21.9
"368",3.863,23.1
"369",4.97,50
"370",6.683,50
"371",7.016,50
"372",6.216,50
"373",5.875,50
"374",4.906,13.8
"375",4.138,13.8
"376",7.313,15
"377",6.649,13.9
"378",6.794,13.3
"379",6.38,13.1
"380",6.223,10.2
"381",6.968,10.4
"382",6.545,10.9
"383",5.536,11.3
"384",5.52,12.3
"385",4.368,8.8
"386",5.277,7.2
"387",4.652,10.5
"388",5,7.4
"389",4.88,10.2
"390",5.39,11.5
"391",5.713,15.1
"392",6.051,23.2
"393",5.036,9.7
"394",6.193,13.8
"395",5.887,12.7
"396",6.471,13.1
"397",6.405,12.5
"398",5.747,8.5
"399",5.453,5
"400",5.852,6.3
"401",5.987,5.6
"402",6.343,7.2
"403",6.404,12.1
"404",5.349,8.3
"405",5.531,8.5
"406",5.683,5
"407",4.138,11.9
"408",5.608,27.9
"409",5.617,17.2
"410",6.852,27.5
"411",5.757,15
"412",6.657,17.2
"413",4.628,17.9
"414",5.155,16.3
"415",4.519,7
"416",6.434,7.2
"417",6.782,7.5
"418",5.304,10.4
"419",5.957,8.8
"420",6.824,8.4
"421",6.411,16.7
"422",6.006,14.2
"423",5.648,20.8
"424",6.103,13.4
"425",5.565,11.7
"426",5.896,8.3
"427",5.837,10.2
"428",6.202,10.9
"429",6.193,11
"430",6.38,9.5
"431",6.348,14.5
"432",6.833,14.1
"433",6.425,16.1
"434",6.436,14.3
"435",6.208,11.7
"436",6.629,13.4
"437",6.461,9.6
"438",6.152,8.7
"439",5.935,8.4
"440",5.627,12.8
"441",5.818,10.5
"442",6.406,17.1
"443",6.219,18.4
"444",6.485,15.4
"445",5.854,10.8
"446",6.459,11.8
"447",6.341,14.9
"448",6.251,12.6
"449",6.185,14.1
"450",6.417,13
"451",6.749,13.4
"452",6.655,15.2
"453",6.297,16.1
"454",7.393,17.8
"455",6.728,14.9
"456",6.525,14.1
"457",5.976,12.7
"458",5.936,13.5
"459",6.301,14.9
"460",6.081,20
"461",6.701,16.4
"462",6.376,17.7
"463",6.317,19.5
"464",6.513,20.2
"465",6.209,21.4
"466",5.759,19.9
"467",5.952,19
"468",6.003,19.1
"469",5.926,19.1
"470",5.713,20.1
"471",6.167,19.9
"472",6.229,19.6
"473",6.437,23.2
"474",6.98,29.8
"475",5.427,13.8
"476",6.162,13.3
"477",6.484,16.7
"478",5.304,12
"479",6.185,14.6
"480",6.229,21.4
"481",6.242,23
"482",6.75,23.7
"483",7.061,25
"484",5.762,21.8
"485",5.871,20.6
"486",6.312,21.2
"487",6.114,19.1
"488",5.905,20.6
"489",5.454,15.2
"490",5.414,7
"491",5.093,8.1
"492",5.983,13.6
"493",5.983,20.1
"494",5.707,21.8
"495",5.926,24.5
"496",5.67,23.1
"497",5.39,19.7
"498",5.794,18.3
"499",6.019,21.2
"500",5.569,17.5
"501",6.027,16.8
"502",6.593,22.4
"503",6.12,20.6
"504",6.976,23.9
"505",6.794,22
"506",6.03,11.9
